Entity,Consommation
Apples,0.428400804
Bananas,0.861896382
Barley,1.179171482
Beef (beef herd),99.47740461
Beef (dairy herd),33.30139542
Beet Sugar,1.812076523
Berries & Grapes,1.531885242
Brassicas,0.514556431
Cane Sugar,3.198924158
Cassava,1.315674961
Cheese,23.87758122
Citrus Fruit,0.387624707
Coffee,28.52790608
Dark Chocolate,46.64674519
Eggs,4.669470953
Fish (farmed),13.63244514
Groundnuts,3.230013587
Lamb & Mutton,39.72226943
Maize,1.701511497
Milk,3.151719611
Nuts,0.433135282
Oatmeal,2.480449487
Olive Oil,5.424875844
Onions & Leeks,0.496763064
Other Fruit,1.052752053
Other Pulses,1.786379574
Other Vegetables,0.532172648
Palm Oil,7.316770493
Peas,0.975080917
Pig Meat,12.30568178
Potatoes,0.460134099
Poultry Meat,9.86582363
Rapeseed Oil,3.767672591
Rice,4.451645831
Root Vegetables,0.426280053
Shrimps (farmed),26.86586234
Soybean Oil,6.324471519
Soymilk,0.975179153
Sunflower Oil,3.599478465
Tofu,3.161744361
Tomatoes,2.088706655
Wheat & Rye,1.573823063
Wine,1.788762819
