,categorie,nom_recette,ingredients,preparation,nb_etape
3,dessert,Gâteau au chocolat fondant rapide,"['200 g de chocolat à pâtisser noir ', ' 100 g de beurre + une noix pour le moule ', ' 3 oeuf', ' 50 g de farine', ' 100 g de sucre en poudre']"," Préchauffez votre four à 180°C (thermostat 6).Dans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux. Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez.  Ajoutez le mélange chocolat/beurre. Mélangez bien. Beurrez et farinez votre moule puis y versez la pâte à gâteau. Faites cuire au four environ 20 minutes.  A la sortie du four le gâteau ne paraît pas assez cuit. C'est normal, laissez-le refroidir puis démoulez- le.",6
4,dessert,Pâte à crêpes simple,"['5 oeuf', ' 500 g de farine', ' 1 l de lait demi-écrémé', ' 3 cuillère à soupe dhuile', ' 1/2 verre de bière']"," Dans un saladier verser la moitié de la farine, puis rajouter les oeufs un à un, rajouter ensuite un peu de lait puis de la farine puis à nouveau du lait et ainsi de suite.  Enfin rajouter l'huile et la bière.  Laisser reposer 1 heure, votre pâte est prête.",3
6,dessert,Tiramisu (recette originale),"['3 oeuf', ' 100 g de sucre roux', ' 1 sachet de sucre vanillé', ' 250 g de mascarpone', ' 24 biscuit à la cuillère', ' 50 cl de café noir non sucré ', ' 30 g de cacao amer']", Séparer les blancs des jaunes d'oeufs. Mélanger les jaunes avec le sucre roux et le sucre vanillé.  Ajouter le mascarpone au fouet. Monter les blancs en neige et les incorporer délicatement à la spatule au mélange précédent. Réserver. Mouiller les biscuits dans le café rapidement avant d'en tapisser le fond du plat. Recouvrir d'une couche de crème au mascarpone puis répéter l'opération en alternant couche de biscuits et couche de crème en terminant par cette dernière. Saupoudrer de cacao. Mettre au réfrigérateur 4 heures minimum puis déguster frais.,8
7,dessert,Cookies maison,"['85 g de beurre mou ', ' 1 oeuf', ' 85 g de sucre', ' vanille ou 1 sachet de sucre vanillé ', ' 150 g de farine', ' 100 g de chocolat noir', ' 1 cuillère à café de sel', ' 1 cuillère à café de levure chimique']"," Détailler le chocolat en pépites. Préchauffer le four à 180°C (thermostat 6).Dans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout. Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat. Beurrer une plaque allant au four et former les cookies sur la plaque. Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson. Enfourner pour 10 minutes de cuisson.",6
8,dessert,Fondant au chocolat,"['200 g de chocolat à cuire ', ' 100 g de beurre doux', ' 100 g de sucre semoule', ' 5 oeuf', ' 4 cuillère à soupe de farine']"," Préchauffer le four à 180°C (thermostat 6).Faire fondre le chocolat et le beurre au bain-marie à feu doux, ou au micro-ondes sur le programme ""décongélation"". Pendant ce temps, séparer les jaunes des blancs d'oeuf. Monter les blancs en neige ferme. Réserver.  Quand le mélange chocolat-beurre est bien fondu, ajouter les jaunes d’oeufs et fouetter.  Incorporer le sucre et la farine, puis ajouter les blancs d’oeufs sans les casser.  Beurrer et fariner un moule à manqué et y verser la pâte à gâteau. Enfourner pendant 20 minutes. Quand le gâteau est cuit, le laisser refroidir avant de le démouler. ",8
9,dessert,Mousse au chocolat facile,"['3 oeuf', ' 100 g de chocolat noir ou au lait ', ' 1 sachet de sucre vanillé']"," Séparer les blancs des jaunes d'oeufs. Faire ramollir le chocolat dans une casserole au bain-marie. Hors du feu, incorporer les jaunes et le sucre. Battre les blancs en neige ferme et les ajouter délicatement au mélange à l'aide d'une spatule. Verser dans une terrine ou des verrines  et mettre au frais 1 heure ou 2 minimum. Décorer de cacao ou de chocolat râpé Déguster",9
10,dessert,Gaufres faciles et légères,"['200 g de farine', ' 30 g de sucre', ' 3 oeuf', ' 20 g de beurre', ' 25 cl de lait', ' 1 pincée de sel']"," Mettre la farine dans un saladier, y ajouter le sucre, les jaunes d'œufs et le beurre ramolli.  Délayer peu à peu le tout en y ajoutant le lait pour qu'il n'y ait pas de grumeaux.  Battre les blancs en neige avec une pincée de sel et les ajouter au restant en remuant délicatement. Cuire le tout dans un gaufrier légèrement beurré. Bon appétit !!",5
12,dessert,Tarte aux pommes,"['1 pâte brisée', ' 6 pomme golden ', ' 1 sachet de sucre vanillé', ' 30 g de beurre']"," Éplucher et découper en morceaux 4 Golden.  Faire une compote : les mettre dans une casserole avec un peu d'eau (1 verre ou 2). Bien remuer. Quand les pommes commencent à ramollir, ajouter un sachet ou un sachet et demi de sucre vanillé. Ajouter un peu d'eau si nécessaire. Vous saurez si la compote est prête une fois que les pommes ne seront plus dures du tout. Ce n'est pas grave s'il reste quelques morceaux. Pendant que la compote cuit, éplucher et couper en quatre les deux dernières pommes, puis, couper les quartiers en fines lamelles (elles serviront à être posées sur la compote). Préchauffer le four à 210°C (thermostat 7). Laisser un peu refroidir la compote et étaler la pâte brisée dans un moule et la piquer avec une fourchette.  Verser la compote sur la pâte et placer les lamelles de pommes en formant une spirale ou plusieurs cercles, au choix ! Disposer des lamelles de beurre dessus. Mettre au four et laisser cuire pendant 30 min max. Surveiller la cuisson. Vous pouvez ajouter un peu de sucre vanillé sur la tarte pendant que çà cuit pour caraméliser un peu.",8
16,dessert,Pain perdu,"['25 cl de lait', ' 3 oeuf', ' 75 g de sucre de canne', ' 6 tranche épaisse de pain paysan ']"," Fouetter les oeufs avec le sucre et le lait. Y tremper les tranches de pain. Deux solutions pour la cuisson : les cuire à la poêle dans du beurre en les faisant dorer de chaque côté, ou, les cuire au four : beurrer légèrement un plat à  gratin, y répartir les tranches, verser le reste du mélange (ajouter du sucre si envie), laisser cuire à 180°C (thermostat 6) jusqu'à que les tranches soient dorées.",3
18,dessert,Meringue pour les nuls,"['4 blanc doeuf', ' 250 g de sucre semoule']"," Quelques trucs pour bien réussir ces meringues : sortir les oeufs du réfrigérateur un quart d'heure avant de les utiliser. Ne surtout pas mélanger de jaunes aux blancs d'oeuf. Ajouter une pincée de sel avant de battre les blancs en neige. Utiliser un récipient plus haut que large et utiliser un batteur électrique (bien plus rapide et moins fatiguant)! On peut commencer : Battre les blancs d'oeuf en neige ferme. Ajouter le sucre par petites quantités tout en continuant de battre. Préchauffer le four à 120°C (thermostat 4). Déposer immédiatement de petits tas de meringue sur une plaque de four préalablement recouverte de papier sulfurisé. Cuire entre 30 minutes et 1 heure à 120°C. Au bout de 30 minutes, on obtient des meringues blanches et moelleuses. Au bout d'1 heure, on obtient des meringues rosées, craquantes et fondantes avec un coeur moelleux. Une fois cuites, décoller les meringues délicatement dès la sortie du four et laisser refroidir sur une grille. ",12
