,categorie,nom_recette,ingredients,preparation,nb_etape
3,entree,Flan de courgettes,"['1 kg de courgette', ' 100 g de gruyère râpé 60 g de gruyère + 40 g de parmesan ', ' 8 cuillère de lait', ' 6 oeuf', ' 20 feuille de basilic']"," Couper les courgettes en très fines rondelles. Les faire revenir dans de l'huile d'olive. Saler, poivrer, cuire environ 10 mm à petit feu.  Battre les oeufs et ajouter le fromage + sel + poivre + basilic + lait.  Jeter la préparation sur les courgettes. Remuer. NE PAS FAIRE PRENDRE ""L'OMELETTE"".  Mettre au four 180°C pendant 35 mn.  SERVIR FROID OU CHAUD avec une sauce mayonnaise + ketchup hot. ",5
8,entree,Tarte au thon,"['1 pâte feuilletée', ' 130 g de thon', ' 2 tomate', ' 6 cuillère à soupe de crème fraîche', ' 100 g de gruyère râpé']"," Etaler une pâte feuilletée  Sur laquelle on émiette une grosse boîte de thon. Couper des tomates en rondelle et les disposer par-dessus le thon. Sur chaque rondelle de tomate, ajouter une peu de crème fraîche et enfin du fromage râpé. Faire cuire à four chaud environ 30 minutes.",
13,entree,Bruschetta (Italie),"['8 tranche de pain de campagne un peu épaisses ', ' 8 tomate de la variété roma forme allongée ', ' 2 cuillère à soupe dhuile dolive', ' sel', ' 1 gousse dail']"," Découper les tomates en petits dés après avoir retiré la partie verte en haut, les mettre dans un petit saladier avec une bonne huile d'olive et du sel. Faire griller les tranches de pain de campagne, puis les frotter d'ail.  Disposer le mélange tomate/huile d'olive généreusement sur la tartine, à déguster aussitôt (tiède).",3
25,entree,Rouleaux de printemps,"['6 galette de riz', ' 300 g de vermicelles de riz', ' 50 g de crevette', ' 50 g de porc coupés en morceaux ', ' 6 feuille de salade', ' 6 feuille de menthe']", Plongez les galettes de riz dans de l' eau chaude pendant quelques secondes pour qu'elles deviennent molles puis laissez légèrement égoutter. Cuire le porc et les crevettes dans de l'eau chaude.  Etalez la galette de riz sur une table de travail. Commencez par mettre une feuille de salade et quelques feuilles de menthe.  Mettez ensuite les vermicelles de riz.  Puis le porc.  Enroulez le rouleau et au dernier tour mettez 3 crevettes préalablement coupées en 2 .,7
46,entree,Pâte à beignets sucrés ou salés,"['125 g de farine', ' 15 cl de lait', ' 1 oeuf', ' 1 pincée de sel', ' 1 cuillère à soupe dhuile']"," Mettre tous les ingredients dans une jatte et bien remuer afin d'obtenir une pâte lisse et homogène. Mettre cette preparation 1 heure au frais. Vous pouvez utiliser cette préparation pour des beignets sucrés(pomme, banane...) ou salés (courgette...).",2
50,entree,Gratin d'aubergines,"['4 aubergine', ' 5 cuillère à soupe dhuile dolive', ' 25 cl de coulis de tomate', ' 2 gousse dail', ' 1 cuillère à café de thym séché ', ' 100 g de parmesan râpé']"," Epluchez les aubergines, coupez-les en tranches fines et faites-les dorer dans 4 cuillères à soupe d'huile chaude. Ajoutez l'ail haché en cours de cuisson pour qu'il ne brûle pas.  Préchauffez le four à 210°C (thermostat 7). Réchauffez la sauce tomate avec le thym.  Huilez un plat à four et disposez-y les aubergines dorées. Recouvrez de sauce tomate. Arrosez d'huile et enfournez 5 minutes pour réchauffer. Saupoudrez de parmesan et remettez au four 10 minutes pour gratiner le dessus.",5
73,entree,Verrine avocat-truite fumée,"['1 avocat bien mûr ', ' 2 tranche de truite fumée ou saumon ', ' 100 g de fromage frais', ' 1/2 citron', ' 50 g de fromage ail et fines herbes', ' ciboulette', ' 1 pot doeuf de truite']"," Ecraser la pulpe de l'avocat dans un bol. Saler très peu, poivrer et citronner.  Déposer 1/4 de la préparation dans chaque verrine. Mélanger le fromage frais et le fromage ail et fines herbes dans un bol avec 1 cuillère à soupe d'eau pour fluidifier. Déposer dans les verrines en une seconde couche. Couper les tranches de saumon fumé en petits morceaux, répartir dans les verrines et mettre au frais.  Au moment de servir, décorer de quelques oeufs de truite, brins de ciboulette, un filet de citron et un tour de moulin à poivres 5 baies.",7
78,entree,Vraies Frites pour Actifry,"['1.5 kg de pomme de terre épluchées et lavées ', ' 1 cuillère dhuile de friture', ' sel']"," Coupez les pommes de terre en bâtonnets de la taille souhaitée. Rincez abondamment les frites, égouttez-les et séchez-les soigneusement. Placez-les dans la cuve. Versez l’huile uniformément sur les frites. Laissez cuire 36-38 min selon l’épaisseur des frites.",4
79,entree,Arancini à la Sicilienne,"['300 g de riz pour risotto', ' 50 g de petit pois cuits dans du beurre ', ' 50 g de jambon cru ', ' 50 g de mozzarella', ' 1 oeuf', ' farine', ' chapelure', ' huile', ' sel']"," Coupez en petits dés la mozzarella et le jambon, mettez-les ensemble dans un bol. Ajoutez les petit-pois et mélangez bien.  Modelez avec le riz 16 petits sphères et faites dans chacune d’elle une cavité. Remplissez–les avec la mozzarella, le jambon et les petit-pois et refermez les sphères.  Passez-les dans la farine, dans l’oeuf battu avec le sel et dans la chapelure. Faites frire dans l’huile bien chaude.  Égouttez–les et servez.",4
89,entree,Verrines avocats crevettes et fromage frais,"['3 avocat bien mûrs ', ' 45 crevette moyennes décortiquées ', ' 2 citron vert', ' 6 fromage frais type carrés frais 150 g en tout ', ' crème', ' ciboulette fraîche ']"," Ecrasez avec une fourchette la chair de 2 avocats et arrosez-les avec le demi jus du citron vert. Dans vos quatre verrines, répartissez la purée d'avocat sur environ 2 cm de hauteur. Réservez une partie de la purée pour une autre couche. Coupez environ 16 crevettes en morceaux et disposez-les sur la purée d'avocat (4 crevettes coupées par verrine). Réservez 16 crevettes entières pour la décoration du dessus de la verrine. Ecrasez avec une fourchette les 6 carrés frais et la ciboulette ciselée en petits morceaux. Rajoutez un peu de crème (environ 5 cl) pour que le mélange soit moins épais. Dans vos 4 verrines, répartissez le mélange de fromage frais sur environ 2 cm. Réservez une partie du mélange pour une autre couche. Prenez le 3ème avocat, enlevez la peau, coupez-le en petits morceaux et arrosez le tout du jus d'un demi citron vert. Mélangez les morceaux d'avocat avec des morceaux de crevettes (environ 12 crevettes). Répartissez ce mélange dans les verrines sur environ 4 cm de hauteur. Enfin, mélangez le reste de purée d'avocat et de fromage frais et répartissez le mélange dans les verrines pour constituer la dernière couche. Décorez le dessus des verrines avec des crevettes entières (environ 4 par verrines), quelques brins de ciboulette et des rondelles de citron vert. Réservez au frais et ne sortez les verrines qu'au moment de passer à table. Je vous conseille d'accompagner ces verrines d'une mayonnaise au citron... Régalez-vous bien!",11
