Abricot,44,0.1,0.8,0,87.1,16.3,86.35
mouton ,134,5.8,20.5,0.1,73.7,3930,70
Agneau ,134,5.8,20.5,0.1,73.7,3930,72.12
Agrume ,41,0.3,0.8,0,88.9,38,28.9
Ail,137,0.5,7,0,63.7,89,64.3
Airelle rouge,36,0.5,0.3,0,88.4,153,64
Algue,255,1.6,31.5,5,6.5,50,91.32
Nori,255,1.6,31.5,5,6.5,50,91.32
"Amande, seche ",624,52.1,25.6,0,3.3,151,870
Amarante,119,2.1,5,0,71.2,14,91.69
Amidon de ble ,348,0.1,0.4,0,12.3,11,11.12
Ananas,52,0.1,0.5,0,86.4,110,86
Anchois ,182,8.5,26.4,12,55.1,202,73.37
Artichaut,27,0.5,1.8,0.8,90.5,53,9
Asperge,27,0.2,2.2,0,92,200,21
Aubergine,23,0.2,1,0,92.7,100,92.41
Avocat,144,14.2,1.8,0,76.4,150,73.23
flocons d'avoine ,381,7.5,13.5,0.1,8.7,267,10
Baguette  ,255,0.9,9,1.6,36.8,952,11.12
Baie ,40,0.5,0.7,0,88.7,153,79.8
Banane,89,0.1,1.1,0,75.8,86,7.9
Barre de cereales,415,12.7,7.9,0.4,8.4,54,11.12
Basilic,46,0.8,3.1,0,86.4,28,92.06
Batonnet de poisson,230,11.7,15.5,0.6,56.9,3114,73.37
Batonnets aux noisettes,567,36.6,10.5,0.1,3.3,251,52
Bette,23,0.2,2.1,0.4,92.4,28,92.66
Betterave ,46,0.1,1.5,0.1,86.2,28,92.66
Beurre ,391,39.8,4.8,0.3,51.9,2380,17.94
Biere ,39,0,0.2,0,91.1,600,92.3
Biscotte,421,7.8,11.6,1.3,4,510,5.5
Biscuits,473,27.7,6.7,0.1,13.5,410,3
Blanc battu,47,0,7.8,0.1,86.5,480,5.8
Blanc d'oeuf,45,0,10.8,0.5,87.5,480,5.8
Ble ,327,1.8,11.4,0,12.6,11,11.12
Boeuf,154,7.5,21.6,0.2,69.7,2700,59.39
Bonbon ,385,0.3,0.5,0.1,4.1,371,4
Boudin,149,10.8,10.2,2,76.2,1210,47.3
Cabillaud,76,0.4,18.1,0.1,81.1,741,70
Cacahuete,623,49.1,26.1,0,2.2,258,6.5
Cacao,419,24.5,22.5,0,5.1,466,30
"Cafe,poudre",2,0,0.1,0,99.6,285,3.1
Calamar,83,1.1,16,0.4,79.4,702,70
Camembert,297,23.7,20.8,2.2,52.1,960,51.8
Cannelle,317,3.2,3.9,0.1,9,130,21
Caramel ,448,17.2,2.1,0.8,7.8,371,23
Carotte,38,0.3,0.8,0.1,89.2,31,19.5
Carrelet,86,1.9,17.1,0.3,79.7,745,73.37
Cassis,71,0.9,1.3,0,80.5,153,160
Celeri ,15,0.1,0.9,0.3,94.4,85,14
Cerf,112,3.3,20.6,0.2,74.9,185,1400
Cerise,62,0.4,0.8,0,85.7,153,16
Champignon,29,0.4,3.5,0,91.7,4517,23
Champignons,29,0.4,3.5,0,91.7,4517,23
Chanterelle,24,0.5,2.3,0,91.5,230,23
Chapelure,373,2.1,12.7,1,6.8,230,54
Charcuterie ,276,24.2,13.9,2,61.2,230,900
Chataigne,210,1.9,2.9,0,44.9,230,230
Cheval,102,1.9,21.4,0.1,74.8,230,749
Chevre,149,7.9,19.5,0.1,71.6,230,831
Chevreuil,122,3.6,22.4,0.2,72.9,230,754
Chicoree,19,0.1,1.4,0,94,230,230
Chili,115,3.6,10.4,0.4,74.3,230,387
Chocolat en poudre,398,7.8,5.3,0,1.7,466,1700
Chocolat ,537,31.8,5.7,0,0.7,466,1700
Chou blanc,30,0.2,1.4,0,90.4,28,28
Chou rouge,30,0.3,1.4,0,90.6,28,28
Chou-fleur,26,0.3,2.4,0,91.9,28,28
Ciboulette,30,0.6,3,0,91.3,23,323
Cidre ,32,0,0,0,93.2,230,548
Citron,23,0.5,0.8,0,90,38,87
Compote ,55,0.3,0.3,0,85,75,223
Concentre de tomates,77,0.2,4.5,0.6,76.7,40,21
Concombre,14,0.1,0.7,0,96,143,98
Confiture,246,0.5,0.5,0,36,15,97
Cornflakes,363,0.6,7.7,1.7,5.1,12,139
Cornichon,14,0.1,0.7,1.8,93,27,79
Cotechino,450,42.3,17.2,4.4,36.8,32,23
Cotelette,177,10.2,21.3,0.1,68.5,654,954
Courge,23,0.1,0.6,0,93.3,78,23
Courgette,19,0.2,1.8,0,94,62,27
Creme,252,25.4,2.3,0.1,68.8,44,66
Crepe nature,165,5.6,7.6,0.8,65.7,44,43
Cresson,17,0.2,2.2,0.1,93.5,44,72
Crevette,56,0.6,11.4,0.5,85.5,11044,2300
Croissant,400,22,7.8,1.2,26.4,49,123
Datte,289,0.6,2.4,0,22.9,93,23
dEau,0,0,0,0,100,9,100
Eau,0,0,0,0,100,9,100
Emince ,150,3.8,28.9,0.2,67.2,733,549
Emmentaler,408,32.6,28.4,0.4,35,1350,51.8
Endive,14,0.2,1,0,94.7,78,42
Epinard,23,0.4,2.7,0.2,91.7,98,54
Escalope ,113,2.7,22.2,0.1,75.1,1504,230
Farine,343,1.4,12.4,0,14.8,233,19
Fenouil,23,0.3,1.1,0,92.2,28,15
Flet,72,0.7,16.5,0.4,81.4,267,10
Flocons de cereales,348,3.2,10.8,0,12.9,267,10
Foie ,134,4.3,20.3,0.2,71.8,700,500
Fondue ,315,22.4,19.6,0.3,52.2,1350,51.8
dail,39,0.5,0.6,0,90.3,267,10
Framboise,44,0.8,1.2,0,86.8,153,41
Frites ,127,5,1.8,0,73.7,290,28
Fromage  ,397,32.1,26.6,1.2,40.7,1350,51.8
Fromage a pate molle,325,27.4,19.4,2.2,52.7,1350,51.8
Fromage a raclette,357,27.9,25.9,1.8,41.4,1350,51.8
Fromage bleu ,360,31.5,19.1,3.8,48.9,1350,51.8
Fromage fondu ,247,21.2,14.1,3,51.3,1350,51.8
Fromage rape,406,32.1,29.3,1.7,38.1,1350,51.8
Fruit,54,0.2,0.6,0,85.7,105,230
Fruit de la passion,102,3,2.1,0,73.6,105,230
Gallette de riz ,390,2.8,7.7,0.8,5.8,4067,24
Gateau,430,24.7,6.9,0.2,23.2,230,340
Gibier,115,3.4,21.1,0.2,75.5,4966,540
Grenade,81,1.2,1.4,0,79.4,38,77
Groseille rouge,50,0.7,1.6,0,82.1,153,77
Gruyere,396,32,26.4,1.5,36,1350,51.8
Haricot vert,31,0.2,2.1,0,90.3,75,50
Houmous,204,14,7.3,1.1,64.6,88,145
