,categorie,nom_recette,ingredients,preparation,nb_etape
20,plat,Pomme de terre au four,['500 g de pomme de terre']," Eplucher les pommes de terre, ou laisser la peau si elle est fine. Les couper dans le sens de la longueur et les placer sur une plaque au four, face bombée contre la plaque. Saler et laisser cuire à four chaud jusqu'à ce que le dessus soit bien doré. Servir chaud accompagnées de salade verte et de toutes sortes de fromages (du kiri pour les enfants en allant jusqu'au maroilles...). C'est délicieux, économique et sans graisse. Délicieux avec de la cancoillotte !",4
44,plat,La pâte à galettes de blé noir traditionnelle,"['330 g de farine de blé noir', ' 10 g de gros sel', ' 75 cl deau froide ', ' 1 oeuf']"," Dans un saladier, mélanger la farine et le gros sel.  A l'aide d'un fouet, verser l'eau en deux ou trois fois, tout en mélangeant la préparation. On obtient une pâte lisse et épaisse à laquelle on ajoute un oeuf pour donner une belle coloration à la cuisson.  Filmer et laisser reposer 1 à 2 heures au réfrigérateur.  Graisser la crêpière avec une coton imbibé d'huile. Verser une louche de pâte, attendre que la galette colore pour la décoller à l'aide d'une spatule et la retourner. La laisser cuire encore 1 mn environ.  Pour une galette complète, beurrer généreusement les deux côtés de la galette et déposer au centre de l'un des deux, du jambon et de l'emmental râpé, puis casser un oeuf au centre de la galette. Une fois qu'il commence à cuire, saler, poivrer et rabattre les bords de la galette de façon à ne laisser paraître que le jaune. C'est prêt une fois que l'oeuf est assez cuit.",5
53,plat,Paupiettes de veau ,"['4 paupiette de veau ', ' 1 gousse dail', ' 1 cuillère à soupe dhuile dolive', ' 2 cuillère à soupe de fond de veau', ' 12.5 cl de vin blanc', ' 12.5 cl deau', ' 1 cuillère à soupe de moutarde forte ', ' 1 cuillère à soupe de vinaigre balsamique']"," Dans une sauteuse, faire chauffer l'huile d'olive avec la gousse d'ail finement coupée, à feu moyen. Lorsque c'est bien chaud, mettre les paupiettes à dorer quelques minutes de chaque côté. Quand toutes les faces sont légèrement colorées, ajouter le fond de veau et mouiller avec le vin blanc et l'eau. Ensuite mettre la moutarde, le vinaigre balsamique et bien mélanger en retournant les paupiettes pour qu'elles s'imbibent bien de la sauce. Laisser cuire 5 minutes à feu moyen, pour que l'alcool du vin blanc s'évapore, puis mettre à feu doux et couvrir. Laisser mijoter 20 minutes environ, en retournant les paupiettes de temps en temps. S'accommode avec toutes sortes de légumes ainsi que des féculents.",6
70,plat,Tarte à la tomate et à la moutarde,"['1 pâte brisée', ' 4 tomate bien mûres ', ' herbes de provence + sel ', ' moutarde de dijon', ' huile dolive']"," Précuire la pâte (percée avec une fourchette) 5 min à 450 degrés farenheit (230°C).  Pendant ce temps, couper les tomates en rondelles de 3 mm d'épaisseur.  Sortir la pâte précuite du four. badigeonner le fond de moutarde de Dijon (la classique fait l'affaire) ...en mettre suffisamment pour que le fond en pâte ne se voit plus.  Disposer les tranches de tomates. faire plusieurs épaisseurs.  saupoudrer d'herbes de Provence + 2 pincées de sel.  1 cuillère à soupe d'huile d'olive.  Enfourner pour 20 min à 450 farenheit puis couvrir avec papier d'aluminium pour 20 min supplémentaires. Après ces 20 min, enlever le papier aluminium et laisser cuire encore 5 min porte du four ouverte. Délicieux avec une salade verte.",7
91,plat,Carottes vichy,"['12 carotte comptez-en 3 par personne environ ', ' 50 g de beurre', ' 15 g de sucre', ' 1 cube de bouillon de poulet ']"," Eplucher (gratter) les carottes et couper-les en petites rondelles.  Dans une casserole, préparer un bouillon de poulet. La quantité d'eau doit être suffisante pour recouvrir les carottes.  Dans une poêle, faire fondre le beurre puis, ajouter le sucre. Remuer jusqu'à obtention d'une légère ""mousse"", et ajouter les carottes. Remuer un peu puis, y ajouter le bouillon (les carottes doivent être recouvertes).  Laisser à petit feu sans couvrir afin de permettre à l'eau de s'évaporer pendant 20/25 minutes.",4
100,plat,Pâte brisée vite faite,"['300 g de farine', ' 150 g de beurre en dés et en pommade ', ' 1/2 cuillère à café de sel', ' 3 cuillère à soupe de sucre si pâte sucrée ', ' 8 cl deau ou de lait tiède ']"," Mélanger la farine et le sel dans un plat (et le sucre si sucre il y a).  Ajouter le beurre puis l'incorporer à la farine en pétrissant rapidement et légèrement du bout des doigts. On doit obtenir une sorte de semoule grossière en 2 ou 3 min. Incorporer rapidement le lait ou l'eau. Il en faut très peu pour permettre à la pâte de se lier et de faire boule. Le lait ou l'eau ? C'est selon les goûts. Pour étaler sans problème, étaler la pâte sur du papier cuisson et cuire tel quel dans la platine. ",4
128,plat,Fish and Chips (la vraie pâte à friture anglaise),"['1 verre de farine', ' 1 verre de bière', ' 2 oeuf']"," Mélangez la farine et la bière. Ajoutez les jaunes d'oeufs, puis les blancs d'oeuf monté en neige ferme en soulevant la masse pour ne pas le ""casser"". 
La pâte à fish and chips est prête.  Trempez les filets de poisson généreusement et faites frire à 160°C ou 180°C pendant 3 ou 4 min. Egoutter soigneusement lorsque c'est doré. Servir avec des frites.",8
144,plat,Semoule au micro-ondes,"['250 g de semoule moyenne', ' 25 cl deau tiède ', ' sel', ' 2 cuillère à soupe dhuile dolive', ' beurre']"," Mettre la semoule dans un récipient pour micro-ondes (type pyrex). Verser l'huile dans la semoule à sec et mélanger pour que ça s'imprègne. Mettre du sel dans l'eau tiède et verser sur la semoule en mélangeant. Laisser absorber quelques minutes. Mettre 1 min 30 au micro-ondes. Mélanger à la fourchette, ajouter une noix de beurre. Remettre 2 min au micro-ondes. C'est prêt !",8
150,plat,Galette bretonne à la farine de sarrasin,"['500 g de farine de sarrasin', ' 15 g de sel gris de guérande ', ' 1 oeuf', ' 70 cl deau', ' saindoux pour la cuisson ', ' 1 oeuf par personne ', ' 1/2 tranche de jambon', ' gruyère râpé', ' champignon']"," Dans un grand saladier, vous mettez les 500 g de farine de sarrasin puis creusez un trou, cassez un oeuf. Versez dans le puit de farine petit-à-petit l'eau en mélangant doucement et battre pour faire rentrer l'air dans la pâte. Laissez reposer mimimum 1 heure ou plus. PS: après une heure, rajoutez de l'eau si la pâte est trop épaisse. Graissez la poêle au saindoux. Bien faire chauffer la poêle et étaler la préparation. Faire cuire comme les crèpes. PS: Si il y a des trous dans la galette, c'est normal. Rajouter après avoir fait cuire la préparation du gruyère, du jambon et un oeuf brouillé (ou pas) puis des champignons.",9
154,plat,Pommes de terre farcies,"['6 pomme de terre', ' 250 g de chair à saucisse', ' 1 viande hachée', ' 1 oeuf', ' persil et ail haché ', ' 1 oignon', ' noisette de beurre', ' 1 verre de bouillon de viande 1/2 tablette ']"," Préchauffer le four à 180°C (thermostat 6). Préparer la farce en mélangeant la chair à saucisse, le steak haché, l'ail, le persil, l'oeuf et un peu de sel et poivre à votre convenance. Eplucher les pommes de terre, couper un ""chapeau"" sur le dessus. Creuser les pommes de terre à l'aide d'un couteau ou d'une cuillère ; conserver la chair de pommes de terre retirée. Remplir les pommes de terre de farce et placer les ""chapeaux"" sur le dessus de chaque pomme de terre. Emincer l'oignon. Beurrer un plat allant au four, y placer dans le fond l'oignon émincé puis les pommes de terre farcies. Placer la chair de pomme de terre restante dans le plat ainsi que les restes éventuels de farce. Déposez une noisette de beurre sur chaque ""chapeau"" de pommes de terre puis arrosez le tout du verre de bouillon. Enfourner pour 55 minutes. Prolonger de quelques minutes la cuisson si nécessaire.",5
